"Moscow","Moscow","55.7558","37.6178","Russia","RU","RUS","Moskva","primary","17693000","1643318494"
"Saint Petersburg","Saint Petersburg","59.9500","30.3167","Russia","RU","RUS","Sankt-Peterburg","admin","5384342","1643616350"
"Novosibirsk","Novosibirsk","55.0333","82.9167","Russia","RU","RUS","Novosibirskaya Oblast’","admin","1602915","1643399240"
"Yekaterinburg","Yekaterinburg","56.8356","60.6128","Russia","RU","RUS","Sverdlovskaya Oblast’","admin","1468833","1643582706"
"Nizhniy Novgorod","Nizhniy Novgorod","56.3269","44.0075","Russia","RU","RUS","Nizhegorodskaya Oblast’","admin","1264075","1643012126"
"Kazan","Kazan","55.7908","49.1144","Russia","RU","RUS","Tatarstan","admin","1243500","1643101260"
"Chelyabinsk","Chelyabinsk","55.1500","61.4000","Russia","RU","RUS","Chelyabinskaya Oblast’","admin","1202371","1643224011"
"Omsk","Omsk","54.9667","73.3833","Russia","RU","RUS","Omskaya Oblast’","admin","1178391","1643360863"
"Samara","Samara","53.1833","50.1167","Russia","RU","RUS","Samarskaya Oblast’","admin","1169719","1643205757"
"Rostov","Rostov","47.2333","39.7167","Russia","RU","RUS","Rostovskaya Oblast’","admin","1125299","1643013518"
"Ufa","Ufa","54.7261","55.9475","Russia","RU","RUS","Bashkortostan","admin","1115560","1643722928"
"Krasnoyarsk","Krasnoyarsk","56.0089","92.8719","Russia","RU","RUS","Krasnoyarskiy Kray","admin","1083865","1643544975"
"Voronezh","Voronezh","51.6717","39.2106","Russia","RU","RUS","Voronezhskaya Oblast’","admin","1047549","1643811064"
"Perm","Perm","58.0139","56.2489","Russia","RU","RUS","Permskiy Kray","admin","1048005","1643294442"
"Volgograd","Volgograd","48.7086","44.5147","Russia","RU","RUS","Volgogradskaya Oblast’","admin","1015586","1643577201"
"Krasnodar","Krasnodar","45.0333","38.9833","Russia","RU","RUS","Krasnodarskiy Kray","admin","881476","1643438227"
"Saratov","Saratov","51.5333","46.0000","Russia","RU","RUS","Saratovskaya Oblast’","admin","845300","1643556540"
"Tyumen","Tyumen","57.1500","65.5333","Russia","RU","RUS","Tyumenskaya Oblast’","admin","744554","1643040435"
"Tolyatti","Tolyatti","53.5167","49.4167","Russia","RU","RUS","Samarskaya Oblast’","","693072","1643256295"
"Izhevsk","Izhevsk","56.8500","53.2167","Russia","RU","RUS","Udmurtiya","admin","646277","1643983138"
"Barnaul","Barnaul","53.3567","83.7872","Russia","RU","RUS","Altayskiy Kray","admin","633301","1643318931"
"Ulyanovsk","Ulyanovsk","54.3167","48.3667","Russia","RU","RUS","Ul’yanovskaya Oblast’","admin","624518","1643668944"
"Irkutsk","Irkutsk","52.2833","104.3000","Russia","RU","RUS","Irkutskaya Oblast’","admin","623736","1643439037"
"Khabarovsk","Khabarovsk","48.4833","135.0667","Russia","RU","RUS","Khabarovskiy Kray","admin","616242","1643175363"
"Yaroslavl","Yaroslavl","57.6167","39.8500","Russia","RU","RUS","Yaroslavskaya Oblast’","admin","608079","1643338528"
"Vladivostok","Vladivostok","43.1167","131.9000","Russia","RU","RUS","Primorskiy Kray","admin","606589","1643832017"
"Makhachkala","Makhachkala","42.9833","47.4833","Russia","RU","RUS","Dagestan","admin","592976","1643580480"
"Tomsk","Tomsk","56.4886","84.9522","Russia","RU","RUS","Tomskaya Oblast’","admin","572740","1643258928"
"Orenburg","Orenburg","51.7667","55.1000","Russia","RU","RUS","Orenburgskaya Oblast’","admin","564443","1643685056"
"Kemerovo","Kemerovo","55.3333","86.0667","Russia","RU","RUS","Kemerovskaya Oblast’","admin","556920","1643216311"
"Novokuznetsk","Novokuznetsk","53.7500","87.1167","Russia","RU","RUS","Kemerovskaya Oblast’","","552105","1643628717"
"Ryazan","Ryazan","54.6167","39.7167","Russia","RU","RUS","Ryazanskaya Oblast’","admin","537622","1643205787"
"Astrakhan","Astrakhan","46.3333","48.0167","Russia","RU","RUS","Astrakhanskaya Oblast’","admin","532504","1643407929"
"Naberezhnyye Chelny","Naberezhnyye Chelny","55.7000","52.3333","Russia","RU","RUS","Tatarstan","","529797","1643008493"
"Penza","Penza","53.2000","45.0000","Russia","RU","RUS","Penzenskaya Oblast’","admin","523726","1643492830"
"Lipetsk","Lipetsk","52.6167","39.6000","Russia","RU","RUS","Lipetskaya Oblast’","admin","510439","1643772906"
"Kirov","Kirov","58.6000","49.6500","Russia","RU","RUS","Kirovskaya Oblast’","admin","501468","1643106064"
"Cheboksary","Cheboksary","56.1333","47.2500","Russia","RU","RUS","Chuvashiya","admin","489498","1643163382"
"Tula","Tula","54.2000","37.6167","Russia","RU","RUS","Tul’skaya Oblast’","admin","485221","1643255206"
"Kaliningrad","Kaliningrad","54.7167","20.5000","Russia","RU","RUS","Kaliningradskaya Oblast’","admin","475056","1643178106"
"Balashikha","Balashikha","55.8000","37.9500","Russia","RU","RUS","Moskovskaya Oblast’","","450771","1643989845"
"Kursk","Kursk","51.7372","36.1872","Russia","RU","RUS","Kurskaya Oblast’","admin","449063","1643011077"
"Stavropol","Stavropol","45.0500","41.9833","Russia","RU","RUS","Stavropol’skiy Kray","admin","433577","1643947228"
"Ulan-Ude","Ulan-Ude","51.8272","107.6064","Russia","RU","RUS","Buryatiya","admin","431922","1643774900"
"Tver","Tver","56.8578","35.9219","Russia","RU","RUS","Tverskaya Oblast’","admin","419363","1643456559"
"Magnitogorsk","Magnitogorsk","53.3833","59.0333","Russia","RU","RUS","Chelyabinskaya Oblast’","","418241","1643987830"
"Sochi","Sochi","43.5853","39.7203","Russia","RU","RUS","Krasnodarskiy Kray","","411524","1643009782"
"Ivanovo","Ivanovo","57.0000","41.0000","Russia","RU","RUS","Ivanovskaya Oblast’","admin","406933","1643297945"
"Bryansk","Bryansk","53.2500","34.3667","Russia","RU","RUS","Bryanskaya Oblast’","admin","406553","1643208827"
"Belgorod","Belgorod","50.6000","36.6000","Russia","RU","RUS","Belgorodskaya Oblast’","admin","391135","1643407900"
"Surgut","Surgut","61.2500","73.4333","Russia","RU","RUS","Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra","","360590","1643007475"
"Vladimir","Vladimir","56.1286","40.4058","Russia","RU","RUS","Vladimirskaya Oblast’","admin","356168","1643712167"
"Nizhniy Tagil","Nizhniy Tagil","57.9167","59.9667","Russia","RU","RUS","Sverdlovskaya Oblast’","","355693","1643992310"
"Arkhangelsk","Arkhangelsk","64.5500","40.5333","Russia","RU","RUS","Arkhangel’skaya Oblast’","admin","351488","1643797198"
"Chita","Chita","52.0333","113.5000","Russia","RU","RUS","Zabaykal’skiy Kray","admin","347088","1643036673"
"Kaluga","Kaluga","54.5333","36.2667","Russia","RU","RUS","Kaluzhskaya Oblast’","admin","341892","1643161747"
"Smolensk","Smolensk","54.7828","32.0453","Russia","RU","RUS","Smolenskaya Oblast’","admin","329853","1643627051"
"Volzhskiy","Volzhskiy","48.7833","44.7667","Russia","RU","RUS","Volgogradskaya Oblast’","","326055","1643875527"
"Cherepovets","Cherepovets","59.1333","37.9167","Russia","RU","RUS","Vologodskaya Oblast’","","318856","1643937680"
"Vologda","Vologda","59.2167","39.9000","Russia","RU","RUS","Vologodskaya Oblast’","admin","313012","1643013685"
"Saransk","Saransk","54.1833","45.1833","Russia","RU","RUS","Mordoviya","admin","314789","1643003229"
"Orël","Orel","52.9686","36.0694","Russia","RU","RUS","Orlovskaya Oblast’","admin","311625","1643703818"
"Yakutsk","Yakutsk","62.0272","129.7319","Russia","RU","RUS","Sakha (Yakutiya)","admin","311760","1643163546"
"Kurgan","Kurgan","55.4408","65.3411","Russia","RU","RUS","Kurganskaya Oblast’","admin","309285","1643201853"
"Vladikavkaz","Vladikavkaz","43.0400","44.6775","Russia","RU","RUS","North Ossetia","admin","306978","1643438348"
"Podolsk","Podolsk","55.4311","37.5456","Russia","RU","RUS","Moskovskaya Oblast’","","299660","1643693800"
"Murmansk","Murmansk","68.9667","33.0833","Russia","RU","RUS","Murmanskaya Oblast’","admin","298096","1643755251"
"Tambov","Tambov","52.7167","41.4333","Russia","RU","RUS","Tambovskaya Oblast’","admin","290365","1643802687"
"Groznyy","Groznyy","43.3125","45.6986","Russia","RU","RUS","Chechnya","admin","291687","1643049853"
"Sterlitamak","Sterlitamak","53.6333","55.9500","Russia","RU","RUS","Bashkortostan","","280233","1643812452"
"Petrozavodsk","Petrozavodsk","61.7833","34.3500","Russia","RU","RUS","Kareliya","admin","278551","1643319966"
"Kostroma","Kostroma","57.7667","40.9333","Russia","RU","RUS","Kostromskaya Oblast’","admin","277648","1643869304"
"Nizhnevartovsk","Nizhnevartovsk","60.9389","76.5950","Russia","RU","RUS","Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra","","277668","1643786132"
"Novorossiysk","Novorossiysk","44.7167","37.7667","Russia","RU","RUS","Krasnodarskiy Kray","","270774","1643087180"
"Yoshkar-Ola","Yoshkar-Ola","56.6328","47.8958","Russia","RU","RUS","Mariy-El","admin","266675","1643701904"
"Nalchik","Nalchik","43.4833","43.6167","Russia","RU","RUS","Kabardino-Balkariya","admin","265162","1643746064"
"Engels","Engels","51.4667","46.1167","Russia","RU","RUS","Saratovskaya Oblast’","","264990","1643653861"
"Taganrog","Taganrog","47.2333","38.9000","Russia","RU","RUS","Rostovskaya Oblast’","","250287","1643228316"
"Komsomol’sk-na-Amure","Komsomol'sk-na-Amure","50.5500","137.0000","Russia","RU","RUS","Khabarovskiy Kray","minor","249810","1643862307"
"Syktyvkar","Syktyvkar","61.6667","50.8167","Russia","RU","RUS","Komi","admin","245313","1643573386"
"Khimki","Khimki","55.8892","37.4450","Russia","RU","RUS","Moskva","","244668","1643601857"
"Nizhnekamsk","Nizhnekamsk","55.6333","51.8167","Russia","RU","RUS","Tatarstan","","237250","1643493938"
"Shakhty","Shakhty","47.7000","40.2333","Russia","RU","RUS","Rostovskaya Oblast’","","235492","1643542365"
"Dzerzhinsk","Dzerzhinsk","56.2333","43.4500","Russia","RU","RUS","Nizhegorodskaya Oblast’","","231797","1643076798"
"Bratsk","Bratsk","56.1520","101.6330","Russia","RU","RUS","Irkutskaya Oblast’","","231602","1643485535"
"Orsk","Orsk","51.2290","58.4681","Russia","RU","RUS","Orenburgskaya Oblast’","","230414","1643003114"
"Noginsk","Noginsk","64.4833","91.2333","Russia","RU","RUS","Krasnoyarskiy Kray","","229731","1643129651"
"Kolpino","Kolpino","59.7300","30.6500","Russia","RU","RUS","Sankt-Peterburg","","225801","1643448070"
"Angarsk","Angarsk","52.5667","103.9167","Russia","RU","RUS","Irkutskaya Oblast’","","226374","1643989118"
"Korolëv","Korolev","55.9167","37.8167","Russia","RU","RUS","Moskovskaya Oblast’","","221797","1643323167"
"Blagoveshchensk","Blagoveshchensk","50.2578","127.5364","Russia","RU","RUS","Amurskaya Oblast’","admin","224419","1643308239"
"Velikiy Novgorod","Velikiy Novgorod","58.5210","31.2758","Russia","RU","RUS","Novgorodskaya Oblast’","admin","222594","1643774241"
"Staryy Oskol","Staryy Oskol","51.2981","37.8350","Russia","RU","RUS","Belgorodskaya Oblast’","","223360","1643807951"
"Pskov","Pskov","57.8167","28.3333","Russia","RU","RUS","Pskovskaya Oblast’","admin","209840","1643877414"
"Mytishchi","Mytishchi","55.9167","37.7333","Russia","RU","RUS","Moskovskaya Oblast’","","205397","1643322494"
"Biysk","Biysk","52.5167","85.1667","Russia","RU","RUS","Altayskiy Kray","","203108","1643652314"
"Lyubertsy","Lyubertsy","55.6814","37.8939","Russia","RU","RUS","Moskovskaya Oblast’","","197705","1643024284"
"Prokopyevsk","Prokopyevsk","53.8833","86.7167","Russia","RU","RUS","Kemerovskaya Oblast’","","196406","1643653477"
"Yuzhno-Sakhalinsk","Yuzhno-Sakhalinsk","46.9500","142.7333","Russia","RU","RUS","Sakhalinskaya Oblast’","admin","194882","1643703767"
"Armavir","Armavir","45.0000","41.1167","Russia","RU","RUS","Krasnodarskiy Kray","","190709","1643809754"
"Balakovo","Balakovo","52.0390","47.7839","Russia","RU","RUS","Saratovskaya Oblast’","","191260","1643480033"
"Rybinsk","Rybinsk","58.0500","38.8333","Russia","RU","RUS","Yaroslavskaya Oblast’","","190429","1643113701"
"Severodvinsk","Severodvinsk","64.5667","39.8500","Russia","RU","RUS","Arkhangel’skaya Oblast’","","183996","1643427671"
"Abakan","Abakan","53.7167","91.4167","Russia","RU","RUS","Khakasiya","admin","181709","1643946203"
"Petropavlovsk-Kamchatskiy","Petropavlovsk-Kamchatskiy","53.0167","158.6500","Russia","RU","RUS","Kamchatskiy Kray","admin","181216","1643129247"
"Norilsk","Norilsk","69.3333","88.2167","Russia","RU","RUS","Krasnoyarskiy Kray","","177428","1643832764"
"Orekhovo-Borisovo Yuzhnoye","Orekhovo-Borisovo Yuzhnoye","55.6031","37.7331","Russia","RU","RUS","Moskva","","147713","1643411150"
"Syzran","Syzran","53.1667","48.4667","Russia","RU","RUS","Samarskaya Oblast’","","173260","1643711617"
"Krasnogorsk","Krasnogorsk","55.8167","37.3333","Russia","RU","RUS","Moskovskaya Oblast’","","171793","1643674336"
"Volgodonsk","Volgodonsk","47.5167","42.1500","Russia","RU","RUS","Rostovskaya Oblast’","","171471","1643784914"
"Kamensk-Ural’skiy","Kamensk-Ural'skiy","56.4000","61.9333","Russia","RU","RUS","Sverdlovskaya Oblast’","","169929","1643640451"
"Ussuriysk","Ussuriysk","43.8000","131.9500","Russia","RU","RUS","Primorskiy Kray","","170660","1643001263"
"Novocherkassk","Novocherkassk","47.4222","40.0939","Russia","RU","RUS","Rostovskaya Oblast’","","168766","1643990727"
"Zlatoust","Zlatoust","55.1667","59.6667","Russia","RU","RUS","Chelyabinskaya Oblast’","","167978","1643000102"
"Elektrostal","Elektrostal","55.8000","38.4500","Russia","RU","RUS","Moskovskaya Oblast’","","158508","1643790299"
"Salavat","Salavat","53.3667","55.9333","Russia","RU","RUS","Bashkortostan","","153181","1643996483"
"Almetyevsk","Almetyevsk","54.9000","52.3000","Russia","RU","RUS","Tatarstan","","154262","1643421011"
