"Madrid","Madrid","40.4167","-3.7167","Spain","ES","ESP","Madrid","primary","6006000","1724616994"
"Barcelona","Barcelona","41.3825","2.1769","Spain","ES","ESP","Catalonia","admin","4735000","1724594040"
"Valencia","Valencia","39.4700","-0.3764","Spain","ES","ESP","Valencia","admin","789744","1724981666"
"Sevilla","Sevilla","37.3900","-5.9900","Spain","ES","ESP","Andalusia","admin","684234","1724991838"
"Zaragoza","Zaragoza","41.6500","-0.8833","Spain","ES","ESP","Aragon","admin","675301","1724907391"
"Málaga","Malaga","36.7194","-4.4200","Spain","ES","ESP","Andalusia","minor","577405","1724397372"
"Murcia","Murcia","37.9861","-1.1303","Spain","ES","ESP","Murcia","admin","460349","1724107739"
"Palma","Palma","39.5667","2.6500","Spain","ES","ESP","Balearic Islands","admin","419366","1724728111"
"Las Palmas","Las Palmas","28.1272","-15.4314","Spain","ES","ESP","Canary Islands","admin","378675","1724501748"
"Bilbao","Bilbao","43.2569","-2.9236","Spain","ES","ESP","Basque Country","minor","346405","1724331267"
"Alicante","Alicante","38.3453","-0.4831","Spain","ES","ESP","Valencia","minor","337304","1724923163"
"Córdoba","Cordoba","37.8845","-4.7796","Spain","ES","ESP","Andalusia","minor","322071","1724706440"
"Valladolid","Valladolid","41.6528","-4.7236","Spain","ES","ESP","Castille-Leon","admin","297775","1724133771"
"Vigo","Vigo","42.2314","-8.7124","Spain","ES","ESP","Galicia","","293837","1724045676"
"Gijón","Gijon","43.5333","-5.7000","Spain","ES","ESP","Asturias","","268896","1724170659"
"Vitoria-Gasteiz","Vitoria-Gasteiz","42.8500","-2.6833","Spain","ES","ESP","Basque Country","admin","253093","1724975338"
"A Coruña","A Coruna","43.3667","-8.3833","Spain","ES","ESP","Galicia","minor","245468","1724417375"
"Elche","Elche","38.2669","-0.6983","Spain","ES","ESP","Valencia","","234205","1724611437"
"Granada","Granada","37.1781","-3.6008","Spain","ES","ESP","Andalusia","minor","231775","1724929320"
"Badalona","Badalona","41.4333","2.2333","Spain","ES","ESP","Catalonia","","223006","1724090334"
"Tarrasa","Tarrasa","41.5611","2.0081","Spain","ES","ESP","Catalonia","","223011","1724377964"
"Sabadell","Sabadell","41.5483","2.1075","Spain","ES","ESP","Catalonia","","216204","1724348384"
"Oviedo","Oviedo","43.3600","-5.8450","Spain","ES","ESP","Asturias","admin","217552","1724090743"
"Cartagena","Cartagena","37.6000","-0.9819","Spain","ES","ESP","Murcia","","216365","1724143241"
"Móstoles","Mostoles","40.3333","-3.8667","Spain","ES","ESP","Madrid","","209639","1724412875"
"Jerez de la Frontera","Jerez de la Frontera","36.6817","-6.1378","Spain","ES","ESP","Andalusia","","212801","1724866806"
"Pamplona","Pamplona","42.8167","-1.6500","Spain","ES","ESP","Navarre","admin","203081","1724483329"
"Santa Cruz","Santa Cruz","28.4667","-16.2500","Spain","ES","ESP","Canary Islands","admin","208563","1724813158"
"Almería","Almeria","36.8403","-2.4681","Spain","ES","ESP","Andalusia","minor","200753","1724745640"
"Alcalá de Henares","Alcala de Henares","40.4818","-3.3643","Spain","ES","ESP","Madrid","","195982","1724663253"
"Fuenlabrada","Fuenlabrada","40.2833","-3.8000","Spain","ES","ESP","Madrid","","192233","1724000348"
"Leganés","Leganes","40.3281","-3.7644","Spain","ES","ESP","Madrid","","187762","1724900225"
"Donostia","Donostia","43.3200","-1.9800","Spain","ES","ESP","Basque Country","minor","188102","1724910555"
"Getafe","Getafe","40.3047","-3.7311","Spain","ES","ESP","Madrid","","183095","1724750196"
"Santander","Santander","43.4628","-3.8050","Spain","ES","ESP","Cantabria","admin","172221","1724247413"
"Burgos","Burgos","42.3408","-3.6997","Spain","ES","ESP","Castille-Leon","minor","174051","1724993285"
"Alcorcón","Alcorcon","40.3500","-3.8333","Spain","ES","ESP","Madrid","","170817","1724318578"
