"Auckland","Auckland","-36.8500","174.7833","New Zealand","NZ","NZL","Auckland","admin","1346091","1554435911"
"Wellington","Wellington","-41.2889","174.7772","New Zealand","NZ","NZL","Wellington","primary","418500","1554772152"
"Christchurch","Christchurch","-43.5309","172.6365","New Zealand","NZ","NZL","Canterbury","admin","383200","1554377228"
"Manukau City","Manukau City","-37.0000","174.8850","New Zealand","NZ","NZL","Auckland","","375600","1554797148"
"Northcote","Northcote","-36.7913","174.7758","New Zealand","NZ","NZL","Auckland","","205605","1554717659"
"Waitakere","Waitakere","-36.8490","174.5430","New Zealand","NZ","NZL","Auckland","","208100","1554034359"
"Hamilton","Hamilton","-37.7833","175.2833","New Zealand","NZ","NZL","Waikato","admin","176500","1554873040"
"Tauranga","Tauranga","-37.6858","176.1667","New Zealand","NZ","NZL","Bay of Plenty","","135000","1554759867"
"Lower Hutt","Lower Hutt","-41.2167","174.9167","New Zealand","NZ","NZL","Wellington","","103400","1554623632"
"Dunedin","Dunedin","-45.8742","170.5036","New Zealand","NZ","NZL","Otago","admin","99885","1554475997"
"Palmerston North","Palmerston North","-40.3549","175.6095","New Zealand","NZ","NZL","Manawatu-Wanganui","admin","76236","1554138183"
"Napier","Napier","-39.4833","176.9167","New Zealand","NZ","NZL","Hawke's Bay","admin","62241","1554064936"
"Whangarei","Whangarei","-35.7250","174.3236","New Zealand","NZ","NZL","Northland","admin","50784","1554000636"
"Nelson","Nelson","-41.2931","173.2381","New Zealand","NZ","NZL","Nelson","admin","49300","1554017097"
"Invercargill","Invercargill","-46.4290","168.3620","New Zealand","NZ","NZL","Southland","admin","47625","1554148942"
"Gisborne","Gisborne","-38.6625","178.0178","New Zealand","NZ","NZL","Gisborne","admin","34527","1554359840"
"Blenheim","Blenheim","-41.5167","173.9500","New Zealand","NZ","NZL","Marlborough","admin","26400","1554001426"
"Richmond","Richmond","-41.3333","173.1833","New Zealand","NZ","NZL","Tasman","admin","15000","1554001427"
"Whakatane","Whakatane","-37.9640","176.9840","New Zealand","NZ","NZL","Bay of Plenty","admin","15795","1554253729"
"Mosgiel","Mosgiel","-45.8750","170.3480","New Zealand","NZ","NZL","Otago","","13400","1554341062"
"Greymouth","Greymouth","-42.4667","171.2000","New Zealand","NZ","NZL","West Coast","admin","7965","1554984303"
"Stratford","Stratford","-39.3410","174.2840","New Zealand","NZ","NZL","Taranaki","admin","5740","1554001293"
"Waitangi","Waitangi","-43.9510","-176.5610","New Zealand","NZ","NZL","Chatham Islands","admin","177","1554847194"
"Porirua","Porirua","-41.1333","174.8500","New Zealand","NZ","NZL","Wellington","","55218","1554561880"
"Rotorua","Rotorua","-38.1378","176.2514","New Zealand","NZ","NZL","Bay of Plenty","","54204","1554000379"
"New Plymouth","New Plymouth","-39.0578","174.0742","New Zealand","NZ","NZL","Taranaki","","53988","1554939405"
"Upper Hutt","Upper Hutt","-41.1333","175.0500","New Zealand","NZ","NZL","Wellington","","41000","1554000042"
"Whanganui","Whanganui","-39.9333","175.0500","New Zealand","NZ","NZL","Manawatu-Wanganui","","39400","1554827998"
"Paraparaumu","Paraparaumu","-40.9167","175.0167","New Zealand","NZ","NZL","Wellington","","28701","1554166459"
"Timaru","Timaru","-44.3931","171.2508","New Zealand","NZ","NZL","Canterbury","","27501","1554243304"
"Pukekohe East","Pukekohe East","-37.1950","174.9481","New Zealand","NZ","NZL","Auckland","","26300","1554599644"
"Taupo","Taupo","-38.6900","176.0800","New Zealand","NZ","NZL","Waikato","","23622","1554654784"
"Masterton","Masterton","-40.9667","175.6500","New Zealand","NZ","NZL","Wellington","","19818","1554641049"
"Cambridge","Cambridge","-37.8833","175.4667","New Zealand","NZ","NZL","Waikato","","18651","1554000848"
"Levin","Levin","-40.6250","175.2833","New Zealand","NZ","NZL","Manawatu-Wanganui","","17670","1554983635"
"Ashton","Ashton","-44.0330","171.7720","New Zealand","NZ","NZL","Canterbury","","17700","1554784264"
"Macetown","Macetown","-44.8650","168.8190","New Zealand","NZ","NZL","Otago","","16600","1554582165"
"Feilding","Feilding","-40.2250","175.5650","New Zealand","NZ","NZL","Manawatu-Wanganui","","15990","1554000257"
"Rolleston","Rolleston","-43.5960","172.3830","New Zealand","NZ","NZL","Canterbury","","16350","1554176166"
"Havelock North","Havelock North","-39.6667","176.8833","New Zealand","NZ","NZL","Hawke's Bay","","13950","1554193593"
"Tokoroa","Tokoroa","-38.2200","175.8720","New Zealand","NZ","NZL","Waikato","","13572","1554951529"
"Waikanae","Waikanae","-40.8760","175.0640","New Zealand","NZ","NZL","Wellington","","12100","1554624715"
"Te Awamutu","Te Awamutu","-38.0083","175.3250","New Zealand","NZ","NZL","Waikato","","12195","1554001222"
